group,year,#wounded,#killed,#killed_civilian,#killed_political,#killed_security,country,city,location,latitude,longtitude,target_desc,target_type
Armed Struggle Group,1982,28,88.5,15,0,73.5,Lebanon,Tyre,8 Story Building housing the IDF Headquarters,33.272,35.195,Israeli Defense Forces (IDF) headquarters,Security
Lebanese National Resistance Front,1982,28,88.5,15,0,73.5,Lebanon,Tyre,8 Story Building housing the IDF Headquarters,33.272,35.195,Israeli Defense Forces (IDF) headquarters,Security
Islamic Jihad Organization (Hezbollah),1983,62,5,0.5,4.5,0,Kuwait,Kuwait City,Embassy NA,29.36972,47.97833,US Embassy,Political
Islamic Jihad Organization (Hezbollah),1983,10,60,32,0,28,Lebanon,Tyre,IDF HQ in outskirts of Tyre,33.272,35.195,Israeli Defense Forces (IDF) Headquarters,Security
Unknown Group,1983,100,63,0,63,0,Lebanon,Beirut,Embassy Outside American embassy in Beirut,33.872,35.51,U.S. Embassy in Lebanon,Political
Islamic Amal,1983,81.5,58,0,0,58,Lebanon,Beirut,Near Beirut International Airport shortly after Marine Barracks attack,33.872,35.51,Barracks for French Paratroopers,Security
Amal,1983,81.5,58,0,0,58,Lebanon,Beirut,Near Beirut International Airport shortly after Marine Barracks attack,33.872,35.51,Barracks for French Paratroopers,Security
Islamic Jihad Organization (Hezbollah),1983,81.5,58,0,0,58,Lebanon,Beirut,Near Beirut International Airport shortly after Marine Barracks attack,33.872,35.51,Barracks for French Paratroopers,Security
Islamic Jihad Organization (Hezbollah),1983,81.5,241,0,0,241,Lebanon,Beirut,Beirut International Airport,33.872,35.51,US Marine Barracks,Security
Amal,1983,81.5,241,0,0,241,Lebanon,Beirut,Beirut International Airport,33.872,35.51,US Marine Barracks,Security
Islamic Amal,1983,81.5,241,0,0,241,Lebanon,Beirut,Beirut International Airport,33.872,35.51,US Marine Barracks,Security
Unknown Group,1984,4,6,0,0,6,Lebanon,Deir Qanoun el Nahr,Entrance to village,33.3,35.31,Israeli Defense Forces (IDF) military convoy,Security
Lebanese National Resistance Front,1984,5,0,0,0,0,Lebanon,Zahrani,Highway South of Sidon,33.5,35.35,Israeli Defense Forces (IDF) military convoy,Security
Islamic Jihad Organization (Hezbollah),1984,27,16,0,16,0,Lebanon,Beirut,Embassy Awkar area of East Beirut,33.872,35.51,US Embassy,Political
Unknown Group,1985,10,6,0,0,6,Iran,Tehran,Mosque at Tehran University,35.698702,51.389767,Iranian president Ali Khamenei,Political
Jihad Islami,1985,11,3,3,0,0,Kuwait,Kuwait City,Highway Arabian Gulf Highway,29.36972,47.97833,Sheik Jaber al-Ahmed al-Sabah ruler of Kuwait,Political
Arab Egyptian League,1985,0,15,0,0,0,Lebanon,Iskandarouna,Edge of security zone,33.153,35.173,South Lebanon Army (SLA) checkpoint,Security
Lebanese National Resistance Front,1985,0,1,0,0,1,Lebanon,Bint Jbeil,Security zone near Israeli border,33.16,35.41,South Lebanon Army (SLA) checkpoint,Security
Syrian Social Nationalist Party,1985,2,2,0,0,2,Lebanon,Ras al-Biyada,checkpoints leading to Israel's security zone,33.16472,35.16833,South Lebanon Army (SLA) checkpoint,Security
Syrian Social Nationalist Party,1985,2,2,0,0,2,Lebanon,Tyre,Bat al-Shouf crossing point north of Jezzine,33.272,35.195,Israeli Defense Forces (IDF) post,Security
Amal,1985,55,80,0,0,80,Lebanon,Tyre,Burg Shamali Refugee Camp,33.272,35.195,Israeli Defense Forces (IDF) military convoy,Security
